id,name,type,level,frontmission,needmoney,needitem,needhero,dialogue,objective,npc,completetype,targetid,number,taskreward
2078,误打误撞,2,84,2077,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【误打误撞】,-1,201,20903,1,2067
2079,风雪交加,2,92,2078,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【风雪交加】,-1,201,21001,1,2071
2080,误闯大阵,2,93,2079,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【误闯大阵】,-1,201,21002,1,2073
3000,即将获得,4,-1,-1,-1,-1,-1,完成初入江湖·终可获得泣血镖*1,完成初入江湖·终可获得泣血镖*1,-1,355,1,10,3000
3001,即将获得,4,-1,3000,-1,-1,-1,完成危机四伏·伍可获得流星杖*1,完成危机四伏·伍可获得流星杖*1,-1,355,11,5,3001
3002,即将获得,4,-1,3001,-1,-1,-1,完成危机四伏·终可获得六星独孤求败*1,完成危机四伏·终可获得六星独孤求败*1,-1,355,16,5,3002
3003,即将获得,4,-1,3002,-1,-1,-1,完成武当风云·伍可获得摇光杖*1,完成武当风云·伍可获得摇光杖*1,-1,355,21,5,3003
3004,即将获得,4,-1,3003,-1,-1,-1,完成武当风云·终可获得光明盔*1,完成武当风云·终可获得光明盔*1,-1,355,26,5,3004
3005,即将获得,4,-1,3004,-1,-1,-1,完成围困少林·终可获得夺魄镖*1,完成围困少林·终可获得夺魄镖*1,-1,355,31,10,3005
3006,即将获得,4,-1,3005,-1,-1,-1,完成桃花迷踪·终可获得7星花无缺*1,完成桃花迷踪·终可获得7星花无缺*1,-1,355,41,20,3006
3007,即将获得,4,-1,3006,-1,-1,-1,完成海上擒魔·终可获得倚天剑*1,完成海上擒魔·终可获得倚天剑*1,-1,355,61,20,3007
